Date,Amount
2020-08-20,1000000000
2020-09-15,1000000000
2021-05-10,1000000000
2021-05-10,1000000000
2021-05-12,1000000000
2021-05-17,1000000000
2021-05-22,1000000000
2021-05-24,1000000000
2021-05-28,1000000000
2021-05-31,1000000000
2021-05-31,1000000000
2021-05-31,1000000000
2021-08-08,1000000000
2021-08-15,1000000000
2021-08-20,1000000000
2021-08-23,1000000000
2021-08-24,1000000000
2021-08-24,1000000000
2021-09-03,1000000000
2021-09-06,1000000000
2021-09-07,1000000000
2021-09-07,1000000000
2021-11-02,1000000000
2021-11-04,1000000000
2021-11-04,1000000000
2021-11-06,1000000000
2021-11-08,1000000000
2021-11-08,1000000000
2021-11-09,1000000000
2021-11-09,1000000000
2021-11-26,1000000000
2021-12-04,1000000000
2021-12-05,1000000000
2021-12-07,1000000000
2021-12-09,1000000000
2021-12-09,1000000000
2021-12-15,1000000000
2021-12-27,1000000000
2021-12-31,1000000000
2022-02-10,1000000000
2022-02-21,1000000000
2022-03-07,1000000000
2022-03-23,1000000000
2022-03-30,1000000000
2022-05-09,1000000000
2022-05-14,3000000000
2022-06-20,4500000000
2022-08-03,1000000000
2022-09-15,1000000000
2022-10-24,1000000000
2022-10-31,1000000000
2022-11-08,1000000000
2023-02-07,2000000000
2023-02-13,1000000000
2023-02-13,1000000000
2023-02-22,1000000000
2023-03-04,1000000000
2023-03-04,1000000000
2023-03-14,1000000000
2023-03-14,1000000000
2023-03-16,1000000000
2023-03-20,1000000000
2023-03-21,1000000000
2023-03-23,1000000000
2023-03-24,1000000000
2023-04-14,1000000000
2023-04-20,1000000000
2023-05-08,1000000000
2023-06-12,1000000000
2023-06-16,1000000000
2023-07-12,1000000000
2023-09-19,1000000000
2023-10-19,1000000000
2023-11-03,1000000000
2023-11-09,1000000000
2023-11-10,1000000000
2023-11-22,1000000000
2023-11-27,1000000000
2023-12-11,1000000000
2023-12-25,1000000000
2024-01-04,1000000000
2024-01-04,1000000000
2024-01-09,1000000000
2024-01-12,1000000000
2024-01-29,1000000000
2024-02-20,1000000000
2024-02-23,1000000000
2024-03-03,1000000000
2024-03-04,1000000000
2024-03-08,1000000000
2024-03-09,1000000000
2024-03-09,1000000000
2024-03-19,1000000000
2024-04-02,1000000000
2024-04-03,1000000000
2024-04-05,1000000000
2024-04-16,1000000000
2024-04-19,1000000000
2024-05-16,1000000000
2024-05-21,1000000000
2024-06-15,1000000000
2024-07-15,1000000000
2024-08-13,1000000000
2024-08-20,1000000000
2024-08-20,1000000000
2024-09-16,1000000000
2024-10-29,1000000000
2024-11-06,2000000000
2024-11-08,1000000000
2024-11-09,1000000000
2024-11-11,2000000000
2024-11-13,1000000000
2024-11-14,1000000000
2024-11-14,1000000000
2024-11-18,1000000000
2024-11-18,1000000000
2024-11-19,1000000000
2024-11-20,1000000000
2024-11-22,1000000000
2024-11-23,2000000000
2024-11-23,1000000000
2024-11-29,1000000000
2024-12-02,1000000000
2024-12-05,1000000000
2024-12-06,2000000000
2024-12-11,1000000000
2024-12-12,1000000000
